asin,name,brand,description,features,stars,rating_count,info_table,ingredients
B003AT0DF0,Evergreen Leaves Brand California Dieters' Tea 20 TB,Brand: Evergreen leaves,California Dieters' Drink can bring balance and harmony to the human body's system to promote health and fitness.,No Caffeine | No Chemical additive | 100% natural herbal beverage | The Ancient China Royalty Formula | For Men & Women,4.5 out of 5 stars,599 global ratings,,
B0D4VMPBTN,"Wild Lettuce Extract & California Poppy Seed Supplement, 2 Way Premium Strength Herbal Supplement for Healthy Sleep & Relief Support, 120 Capsules",Visit the Parker Naturals Store,,"High-Potency Formula: Each vegetable supplement capsule contains 1120 mg of Wild Lettuce & 80 mg of California Poppy Seed Extract, offering a potent blend of natural ingredients. These Wild Lettuce Capsules support your wellness regimen effectively. | Supports Relaxation and Restful Sleep: Wild Lettuce and California Poppy Capsules are herbal supplements with calming properties. These ingredients help soothe discomfort, promote relaxation, and improve sleep quality for a more restful night. | Promotes Mental Clarity and Physical Comfort: Parker Naturals California Poppy supplement supports physical and mental relaxation, helping improve mood and ease occasional discomfort, allowing you to feel more balanced & at ease throughout your day. | Concentrated Extracts: Our formula features high-quality extracts of wild lettuce and California poppies' seed, delivering a higher concentration of active ingredients than standard powders to help maximize benefits and support your well-being. | Natural and Plant-Based: Our 2-Way Strength Wild Lettuce and California Poppy Seed Capsules are made with high-quality, Non-GMO ingredients. 100% vegetarian, they offer a premium, clean option for those seeking a natural, plant-based supplement.",4 out of 5 stars,31 global ratings,"Wild Lettuce, California Poppy",
B01DTH9K0G,"Calming Blends Diverticulitis Tea | Organic Loose Leaf Tea, Caffeine Free | 36 Cups | Made In USA",Visit the CALMING BLENDS Store,,"FLAVOR: Combination of fresh chamomile flowers with a slight cooling peppermint flavor, great tasting for every-day enjoyment. | BENEFITS: This herbal blend combines Peppermint Leaf with Chamomile Flowers, Marshmallow Leaves, and Wild Yam Root to support relaxation, healthy lifestyle. | CONTENTS: Loose-leaf tea in a resealable pouch. Stays fresh for over 18 months. | BREWING SUGGESTIONS: To get the most out of every cup, pour 6-8 oz of boiling water over 2 teaspoons of tea in a cup or infuser. Cover and let steep for 5-7 minutes.",4.5 out of 5 stars,"3,755 global ratings",,
B0CMBVP3C1,California Poppy USDA Organic 60 Capsules | Certified Organic Vegetarian Capsules and Organic California Poppy (Eschscholzia Californica) Dried Herb and Flower (60 Capsules),Visit the HerbEra Store,,"100% NATURAL ORGANIC PRODUCT: No artificial colors or flavors | MADE AND TESTED IN THE USA: We made our products in Colorado, famous for its pure nature | Verified herb identity, confirmed highest quality of raw herb and the extract | Best natural sources of herbs and materials: Every vendor is carefully picked to meet our high standards",5 out of 5 stars,1 global rating,,
B00LC609UC,HawaiiPharm Certified Organic California Poppy (Eschscholzia Californica) Liquid Extract 4 oz,Brand: Hawaii Pharm,"California Poppy (Eschscholzia Californica) is a typical species of herbaceous plants of the genus Eschscholzia. The stem is straight or branched, smooth, sometimes bluish in color. The root is rod, powerful. A flower is solitary with yellow to orange petals. California Poppy blooms from February to September. The flower closes at night and in cold windy weather, and opens again in the morning, but may remain closed if it is cloudy weather.","Highest Strength, Super concentrated California Poppy liquid extract! | California Poppy tincture contains ONLY natural ingredients! | High Quality California Poppy liquid extract - crude extract of first extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! | The highest quality California Poppy extract made with love for plants and respect for Nature! | We strictly use only organic or ethically sourced wild harvested material, highest quality alcohol, vegetable glycerin and crystal clear water! Really the BEST California Poppy extract on market!",3.6 out of 5 stars,56 global ratings,"Certified Organic California Poppy (Eschscholzia Californica). Origin: France. Other ingredients: Alcohol, vegetable palm glycerin, crystal clear water. Contains NO: GMO, gluten, artificial colors, heavy metals, preservatives, pesticides, fertilizers. Other ingredients: Alcohol, vegetable palm glycerin, crystal clear water. Contains NO: GMO, gluten, artificial colors, heavy metals, preservatives, pesticides, fertilizers. Other ingredients: Alcohol, vegetable palm glycerin, crystal clear water. Contains NO: GMO, gluten, artificial colors, heavy metals, preservatives, pesticides, fertilizers.",
B082L626LK,California Tea - Dieters Drink - 20 bags - PACK OF 12,Brand: Alivio Vital,4,"Each box contains 20 teabags. Thats a total of 120 teabags! | You will feel the effects on your body the first day you use it and if you follow the directions | This tea cleanses your body from excessive deposits and fat, because of this it might cause a slight stomach cramping at first | You can also take the tea less concentrated to reduce strong symptoms | Drink California Tea to reach your desired weight!",4.7 out of 5 stars,35 global ratings,,
B07WSXY3M9,"Secrets of the Tribe California Poppy 60 Capsules, 800 mg, California Poppy (Eschscholzia Californica) Dried Herb and Flower (60 Capsules)",Visit the Secrets of the Tribe Store,,"3rd Party Lab Tested: No Foreign Substances, No Fillers, Herb ID Confirmed for Your Safety, Micro test | 100% Natural Products: No Artificial Colors or Flavors, No Sugar or Sweeteners Added | Tested and Verified for Purity: Steam Distilled, Pristine Quality, Gluten-Free, No Preservatives, Soy-Free, Dairy-Free, Egg-Free, Cruelty-Free | High Potency: Patent-Pending Unparalleled Extraction Method, Highest Concentration of Bioactive Components 100% Made in the USA | Our product: Easily Absorbed by the Body",4.1 out of 5 stars,31 global ratings,"California Poppy (Eschscholzia californica) Dried Herb and Flower, Vegetable Capsules",
B0BFQ51LNP,"Teaniru, Rooibos Orange Mineral-rich Herbal Tea - 30 Count | For Everyday Relaxation & Heart Health | High in antioxidants and minerals | Evening Unwind Brew | Certified by USDA Organic",Visit the Teaniru Store,,"RICH IN ANTIOXIDANTS & MINERALS - Rooibos is an amazing herb filled with benefits. Its antioxidants help in promoting skin health and overall well-being. Minerals like iron and potassium support bodily functions, enhancing vitality and boosting immune system resilience. | FOR EVERYDAY RELAXATION - Rooibos' calming properties alleviate stress, fostering relaxation during hectic days. Elevate your wellness routine with each comforting sip, embracing a moment of serenity. | EVENING UNWIND BREW - Ease into the evening with this brew, enter a state of mindfulness and calm, setting up the mood for a restful evening ahead! | 30 ECO-CONSCIOUS PYRAMID TEABAGS- Indulge guilt-free with our eco-conscious pyramid teabags which allow for flavor to steep in uniformly. Made from staple-free, adhesive-free, all-natural, and biodegradable materials, each bag ensures minimal environmental impact without compromising on flavor. | CERTIFIED BY USDA ORGANIC - Our Teas are Organically sourced from certified farms only. The ingredients used are free from synthetic pesticides, herbicides, fertilizers, and any kind of GMOs. With Kosher & BRC certification, indulge in every sip knowing you're experiencing the epitome of authenticity and quality assurance!",4.3 out of 5 stars,265 global ratings,,
B0D2ZTP7FC,"Evergreen Leaves Extra Strength California Dieters' Drink, Herbal Dietary Tea - Caffeine-Free, Senna-Enhanced, 20-Bag Pack",Brand: Evergreen Leaves,"The Evergreen Leaves Brand California Dieters’ Drink is a refreshing herbal tea inspired by ancient Chinese royalty formulas. Made with natural ingredients including Senna leaves, this tea helps support digestive health and wellness while promoting natural cleansing and regularity. Each pack contains 20 tea bags total for easy, on-the-go steeping. As a caffeine-free beverage, this herbal tea provides a satisfying yet gentle way to cleanse your system without harsh chemicals or additives. Suitable for men and women, the California Dieters' Tea delivers a pleasant taste with each serving.","NATURAL CLEANSING: This herbal tea uses a blend of senna leaves and other natural ingredients to support digestive health and regularity gently. | ANCIENT ROYAL FORMULA: Crafted using an ancient Chinese formula once reserved for royalty, this tea promotes overall wellness from the inside out. | REFRESHING TASTE: With a light, refreshing flavor, this caffeine-free herbal tea is satisfying and delicious for any time of day. | MONEY-BACK GUARANTEE: You can try this tea risk-free with a 100% money-back satisfaction guarantee so you always enjoy excellent value. | 20 SERVINGS: Each pack contains 20 tea bags, providing plenty for cleansing your system or regular enjoyment.",4 out of 5 stars,2 global ratings,,
B01H41HE42,"Nelson's Tea Really Root Beer - Sarsaparilla Root Herbal Loose Leaf Tea; Blend of Flavors like Sarsaparilla Root, Burdock Root, and More! (2 Oz)",Visit the Nelson's Tea Store,,"CAPTIVATING ROOT BEER BLEND: Indulge in the nostalgic flavors of a classic root beer crafted to captivate your taste buds and evoke memories of old-time soda shops and delightful childhood treats. Experience the bold, naturally sweet and spicy notes that will transport you to a realm of pure tea bliss. Savor the essence of this ancient root, blended to perfection by Nelson's Tea.The robust and well-balanced combination of ingredients will make your taste buds enjoy its flavorful taste. | PREMIUM INGREDIENT MEDLEY: This exquisite blend features a thoughtfully selected array of premium ingredients, including Burdock Root, Sarsaparilla Root, Sassafras Root Bark, Birch Bark, Dandelion Root, Fennel Seeds, Anise Star, Ginger Root, Licorice Root, Cinnamon Chips, Juniper Berries, and natural flavoring. Each ingredient contributes its unique essence, resulting in a harmonious medley of flavors that delight and intrigue, delivers a symphony of flavors that will leave you craving for more. | SUPPORT WOMAN-OWNED BUSINESS: By choosing this product, you are not only treating yourself to a remarkable tea experience but also supporting a woman-owned business. The dedication and passion of the visionary entrepreneur behind this brand shine through in every aspect of this tea. You directly contributes to empowering female entrepreneurs, fostering a more inclusive and vibrant business landscape, and empower a dream nurtured with love. | EXPERTLY CRAFTED IN USA: Rest assured that every batch of this exceptional tea blend is crafted and packaged with great care in Indianapolis, IN USA. From sourcing the finest ingredients to handcrafting each batch, we ensure that every aspect of our tea production reflects our commitment to excellence. Experience the taste of authenticity and the pride of supporting locally made products. The meticulous attention to detail ensures that you receive a product of unparalleled quality and freshness. | EMBRACE THE TEA RITUAL: Beyond its delightful taste, this tea embodies the essence of what tea brings to people. It is a catalyst for connection, creating cherished moments of togetherness and shared experiences. It provides a comforting refuge, allowing you to unwind and find solace in the ritual of brewing and savoring a cup of tea. With each sip, you embark on a sensory journey that combines the pleasure of unique flavors with the profound rejuvenation that only tea can provide.",4.4 out of 5 stars,456 global ratings,,
