ingredient,count,name
capsule,40,"Vegetable capsule,Vegetarian Capsule,Vegetarian Capsule,Capsule,Capsule,Capsule,Softgel Shell,Softgel Shell,Softgel Shell,Capsule,Capsule,Capsule,water and vegan Capsule,water and vegan Capsule,Softgel Shell,Softgel Shell,Softgel Shell,Softgel Shell,Softgel Shell,Softgel Shell,Softgel Shell,vegan Capsule,Softgel Shell,Softgel Shell,Softgel Shell,Softgel,Softgel Shell,Softgel,Softgel,Softgel Shell,Vegetarian Capsule,Vegetarian Capsule,Vegetarian Capsule,Capsule,Capsule,Capsule,PLANT BASED CAPSULE,Capsule,Vegetarian Capsule,Capsule"
oats,38,"Oat Straw,Oat,fresh Oat extract,fresh Oat extract,fresh Oat extract,fresh Oat extract,fresh Oat extract,fresh Oat extract,fresh Oat extract,fresh Oat,fresh Oat,fresh Oat,fresh Oat,fresh Oat,fresh Oat,fresh Oat,fresh Oat,fresh Oat,fresh Oat,fresh Oat,fresh Oat,fresh Oat,organic Oats (Avena sativa) milky seed extract,fresh Oat,fresh Oat,fresh Oat,fresh Oat,fresh Oat,fresh Oat,fresh Oat,fresh Oat extract,fresh Oat,fresh Oat,fresh Oat,fresh Oat,fresh Oat,Oat milky seed extract,Oat"
orange (unspecified),35,"Orange extract,Orange extract,Orange extract,Orange extract,Orange extract,Orange extract,Orange extract,Orange,Orange,Orange,Orange essential oil 4:1 extract,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange extract,Orange,Orange,Orange,Orange,Orange,Orange [fruit] Essential Oil"
skullcap,34,"Skullcap aerial parts extract,Skullcap aerial parts fresh extract,American Skullcap,Skullcap,Skullcap aerial parts fresh extract,fresh Skullcap,American Skullcap,American Skullcap,American Skullcap,American Skullcap,American Skullcap,organic Skullcap (Scutellaria lateriflora) aerial parts extract,organic Skullcap (Scutellaria lateriflora) aerial parts extract,organic Skullcap aerial parts extract,Skullcap Herb Extract,organic Skullcap aerial parts extract,Skullcap Aerial Parts Extract,Skullcap Aerial Parts Extract,fresh Skullcap,fresh Skullcap,fresh Skullcap,fresh Skullcap,fresh Skullcap,Skullcap flowering tops extract,Skullcap extract,Skullcap extract,Skullcap extract,Blue skullcap,Skullcap,Skullcap,Skullcap,Skullcap,Skullcap,Skullcap"
hops,30,"Hops,Hops,Hops,Hops,Hops,Hops,Hops,Hops,organic Hops (Humulus lupulus) strobile extract,organic Hops (Humulus lupulus) strobile extract,organic Hops extract,organic Hops extract,Hops Strobile Extract,Hops Strobile Extract,Hops,Hops supercritical CO2 extract,Hops,Hops,Hops,Hops extract,Hops extract,Hops extract,Hops,Hops strobile extract,Hops strobile extract,Hops strobile extract,Hops strobile extract,Hops cone extract,Hops Strobiles,Hops"
chamomile,26,"Chamomile Flower Extract,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile,fresh Chamomile"
lecithin,25,"Sunflower Lecithin,Sunflower Lecithin,Sunflower Lecithin,Soy Lecithin,Sunflower Lecithin,non-GMO Soy Lecithin,non-GMO Soy Lecithin,Sunflower Lecithin,Sunflower Lecithin,Sunflower Lecithin,Sunflower Lecithin,Sunflower Lecithin,Sunflower Lecithin,Sunflower Lecithin,non-GMO Soy Lecithin,non-GMO Soy Lecithin,Sunflower Lecithin,Sunflower Lecithin,Non-GMO soy lecithin,Sunflower Lecithin,non-GMO Soy Lecithin,Non-GMO soy lecithin,Sunflower Lecithin,Soy Lecithin,Soy Lecithin"
carbohydrate,25,"Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates,Total Carbohydrates"
blend (herb/botanical),22,"Organic Extract Blend,Organic Extract Blend (Herb/Botanical),Organic Extract Blend (Herb/Botanical),Organic Extract Blend,Organic Extract Blend,Organic Extract Blend,Organic Extract Blend,Organic Extract Blend (Herb/Botanical),Organic Extract Blend,Organic Extract Blend,Organic Extract Blend (Herb/Botanical),Organic Extract Blend,Total Alcohol Free Extracts Blend,Soothing Botanical Blend,Herbal vitality blend 4:1 extracts,Certified Organic Extract Blend,Certified Organic Extract Blend,Organic Extract Blend,Organic Extract Blend,Organic Extract Blend,Organic Extract Blend,Herbal Vitality Blend 4:1 Extracts"
cellulose,20,"Vegetable Cellulose,Cellulose,Modified Cellulose,Cellulose,Modified Cellulose,Cellulose,Modified Cellulose,Cellulose,Modified Cellulose,Microcrystalline Cellulose,Modified Vegetable Cellulose,Modified Vegetable Cellulose,Modified Vegetable Cellulose,Microcrystalline Cellulose,Microcrystalline Cellulose,Microcrystalline Cellulose,Microcrystalline Cellulose,Microcrystalline Cellulose,Microcrystalline Cellulose,Cellulose,Microcrystalline Cellulose,Microcrystalline Cellulose,Modified Vegetable Cellulose,Microcrystalline Cellulose,Modified Cellulose,Cellulose"
beeswax,18,"Beeswax,Beeswax,Beeswax,Beeswax,Beeswax,Beeswax,Beeswax,Beeswax,Beeswax,Beeswax,Beeswax,Beeswax,Beeswax,Beeswax,Beeswax,Beeswax,Beeswax,Beeswax"
